Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F155;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM VERDE AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F156;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM BRANCO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F157;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM MARROM AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F160;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM CINZA AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F105;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM AMARELO AUTOFLEX* 100M;RL;1.18664e+16;1228.0;0.0;9.0;0.0;0.0;21413.0
F106;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM AZUL AUTOFLEX* 100M;RL;1.18664e+16;1228.0;0.0;9.0;0.0;0.0;21413.0
F103B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM PRETO AUTOFLEX* METRO (BOBINA);M;118664.0;12.280000000000001;0.0;0.09;0.0;0.0;214.13
F104B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM VERMELHO AUTOFLEX* METRO (BOBINA);M;118664.0;12.280000000000001;0.0;0.09;0.0;0.0;214.13
F105B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM AMARELO AUTOFLEX* METRO (BOBINA);M;118664.0;12.280000000000001;0.0;0.09;0.0;0.0;214.13
F106B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM AZUL AUTOFLEX* METRO [BOBINA];M;118664.0;12.280000000000001;0.0;0.09;0.0;0.0;214.13
F107B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM VERDE AUTOFLEX* METRO [BOBINA];M;118664.0;12.280000000000001;0.0;0.09;0.0;0.0;214.13
F139;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM CINZA AUTOFLEX* 100M;RL;1.18664e+16;1228.0;0.0;9.0;0.0;0.0;21413.0
F128;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F127;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F129B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F130B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F131B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F132B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
